"Timestamp","What is your age?","Gender","Place of origin","Have you ever taken a tour of Baguio before?","What type of transportation did you use to arrive in Baguio City?","In which month did you have your last visit/outing in Baguio?","How many days did this visit/outing last?","Who accompanied you during these visits? ","How did you travel around the city during your visit?","If you used public transportation, which did you use the most?","Which tourist spot/s have you visited in your last trip/outing to Baguio City?","If you were to recommend to a friend three tourist spots in Baguio City, what would they be?","How important is location when choosing a tourist spot to visit?","How important is accessibility (e.g. ease of getting to the spot) when choosing a tourist spot to visit?","How important is cost (e.g. entrance fees, transportation, etc.) when choosing a tourist spot to visit?","How important is safety when choosing a tourist spot to visit?","How important is cultural significance when choosing a tourist spot to visit?","Have any of the following factors caused you to not visit a tourist spot in Baguio City? (select all that apply)"
"2023/04/08 2:23:14 PM GMT+8","35 to 44 years old","Female","Region III (Central Luzon)","Yes","Bus","April","5","Friends or colleagues","Public Transportation","Jeepney","Burnham Park;Mines View;Wright Park;The Mansion;Camp John Hay;Baguio Museum;Baguio Cathedral;Botanical Garden;SM Baguio;Baguio Night Market","Mines View;Wright Park;The Mansion","3","4","4","4","3","Location;Accessibility"
"2023/04/08 2:26:13 PM GMT+8","18 to 24 years old","Female","Region III (Central Luzon)","Yes","Private vehicle","April","3","Family and /or relatives","Public Transportation","Bus","Burnham Park;Camp John Hay;Sky Ranch Baguio;Baguio Museum","Burnham Park;SM Baguio;Baguio Night Market","4","4","4","4","4","Location;Safety"
"2023/04/08 2:27:15 PM GMT+8","18 to 24 years old","Male","CAR (Cordillera Administrative Region)","Yes","Private vehicle","March","2","Friends or colleagues","Private Vehicle","","Burnham Park;Mines View;Wright Park;Yellow Trail;SM Baguio;Baguio Night Market","Burnham Park;BenCab Museum;Yellow Trail","4","4","5","5","5","Accessibility;Cost"
"2023/04/08 3:10:58 PM GMT+8","18 to 24 years old","Female","Region II (Cagayan Valley)","Yes","Private vehicle","December","3","Family and /or relatives","Walking","","Burnham Park;Botanical Garden;Baguio Night Market","Burnham Park;Igorot Stone Kingdom;Botanical Garden","5","4","4","5","5","Location;Accessibility;Cost;Safety;Lack of interest;"
"2023/04/08 3:15:40 PM GMT+8","18 to 24 years old","Male","Region II (Cagayan Valley)","Yes","Private vehicle","December","3","Family and /or relatives","Private Vehicle","Taxi","Burnham Park;Mines View;Wright Park;The Mansion;Camp John Hay;Baguio Cathedral;Botanical Garden;SM Baguio;Baguio Night Market;Good Shepherd Convent","Mines View;Wright Park;Botanical Garden","5","5","5","5","5","Location;Accessibility"
"2023/04/08 3:51:58 PM GMT+8","18 to 24 years old","Female","Region I (Ilocos Region)","Yes","Private vehicle","May","3","Family and /or relatives","Private Vehicle","","Burnham Park;Mines View;Wright Park;The Mansion;Mirador Hill;Diplomat Hotel;Baguio Cathedral;SM Baguio;Baguio Night Market","Mirador Hill;Diplomat Hotel;Baguio Night Market","3","5","5","3","4","Location;Accessibility"
"2023/04/08 4:09:28 PM GMT+8","45 to 54 years old","Female","Region I (Ilocos Region)","Yes","Private vehicle","March","3","Family and /or relatives","Private Vehicle","Bus","Burnham Park;Mines View;Wright Park;The Mansion;Camp John Hay;Tam-Awan Village;Sky Ranch Baguio;Botanical Garden;SM Baguio;Baguio Night Market;Good Shepherd Convent","Burnham Park;Camp John Hay;Baguio Night Market","5","5","5","5","5","Accessibility"
"2023/04/08 4:39:19 PM GMT+8","18 to 24 years old","Female","CAR (Cordillera Administrative Region)","Yes","Private vehicle","December","A week? ","Family and /or relatives","Private Vehicle","Taxi","Burnham Park;Mines View;The Mansion;Camp John Hay;SM Baguio","Burnham Park;Camp John Hay;SM Baguio","5","5","5","5","3","Location"
"2023/04/08 4:57:01 PM GMT+8","18 to 24 years old","Female","CAR (Cordillera Administrative Region)","Yes","Private vehicle","October","3","Family and /or relatives","Public Transportation","Taxi","Burnham Park;The Mansion;Camp John Hay;Igorot Stone Kingdom;Sky Ranch Baguio;SM Baguio;Baguio Night Market","Burnham Park;Diplomat Hotel;Baguio Night Market","3","4","5","5","5","Cost"
"2023/04/08 5:59:27 PM GMT+8","18 to 24 years old","Female","Region II (Cagayan Valley)","Yes","Private vehicle","April","2","Family and /or relatives","Private Vehicle","Jeepney","Burnham Park;Mines View;Wright Park;The Mansion;Baguio Cathedral;Botanical Garden;SM Baguio","Mines View;Botanical Garden;Baguio Night Market","5","5","5","5","5","Accessibility"
"2023/04/08 6:46:42 PM GMT+8","18 to 24 years old","Female","CAR (Cordillera Administrative Region)","Yes","Bus","March","2","Friends or colleagues","Public Transportation","Jeepney","Burnham Park;Camp John Hay;Mirador Hill;Sky Ranch Baguio;Baguio Cathedral;Botanical Garden;SM Baguio;Baguio Night Market","Burnham Park;Mirador Hill;Botanical Garden","5","5","5","5","5","Location;Cost"
"2023/04/08 7:22:27 PM GMT+8","18 to 24 years old","Female","CAR (Cordillera Administrative Region)","No","","","","","","","","","5","5","3","4","3","Accessibility;Lack of interest"
"2023/04/08 8:24:18 PM GMT+8","18 to 24 years old","Female","CAR (Cordillera Administrative Region)","Yes","Private vehicle","March","2","Family and /or relatives","Private Vehicle","Jeepney","Burnham Park;Camp John Hay;SM Baguio;Baguio Night Market","Burnham Park;SM Baguio;Baguio Night Market","5","5","5","5","4","Location;Accessibility;Safety;Lack of interest"
"2023/04/08 9:37:00 PM GMT+8","25 to 34 years old","Male","CAR (Cordillera Administrative Region)","Yes","None. I live here.","August","3","Family and /or relatives","Public Transportation","Jeepney","Burnham Park;Mines View;Camp John Hay;Sky Ranch Baguio;Baguio Museum;Good Shepherd Convent","Sky Ranch Baguio;Baguio Night Market;Good Shepherd Convent","5","5","3","5","5","Location;Accessibility"
"2023/04/09 11:11:29 AM GMT+8","18 to 24 years old","Prefer not to say","CAR (Cordillera Administrative Region)","Yes","None. I live here.","April","3","Family and /or relatives","Public Transportation","Jeepney","Burnham Park;Bell House;Sky Ranch Baguio;Baguio Museum;Baguio Cathedral","Burnham Park;Bell House;Baguio Cathedral","5","5","2","5","5","Cost"
"2023/04/09 11:15:56 AM GMT+8","18 to 24 years old","Prefer not to say","CAR (Cordillera Administrative Region)","Yes","Private vehicle","March","4","Friends or colleagues","Public Transportation","Jeepney","Burnham Park;Mines View;Wright Park;The Mansion;Camp John Hay;Baguio Museum;Baguio Cathedral;Botanical Garden;SM Baguio;Baguio Night Market","Mines View;Wright Park;The Mansion","5","4","5","5","5","Safety"
"2023/04/09 11:19:42 AM GMT+8","18 to 24 years old","Male","CAR (Cordillera Administrative Region)","Yes","Bus","April","5","Friends or colleagues","Public Transportation","Jeepney","Burnham Park;Mines View;Camp John Hay;Diplomat Hotel;Baguio Museum","Mines View;Diplomat Hotel;Baguio Museum","5","5","1","5","5","Accessibility;Safety;Lack of interest"
"2023/04/09 12:55:27 PM GMT+8","18 to 24 years old","Female","CAR (Cordillera Administrative Region)","Yes","None. I live here.","April","5","Family and /or relatives","Public Transportation","Jeepney","Burnham Park;Mines View;Wright Park;The Mansion;Camp John Hay;BenCab Musem;Sky Ranch Baguio","Burnham Park;Wright Park;The Mansion","5","5","5","5","5","Lack of interest"
"2023/04/09 10:46:32 PM GMT+8","18 to 24 years old","Male","Region I (Ilocos Region)","Yes","Private vehicle","January","1","Friends or colleagues","Public Transportation","Jeepney","Burnham Park;SM Baguio;Baguio Night Market","Burnham Park;Sky Ranch Baguio;SM Baguio","5","5","4","5","5","Location"
"2023/04/09 10:48:22 PM GMT+8","18 to 24 years old","Male","Region I (Ilocos Region)","Yes","Private vehicle","February","1","Family and /or relatives","Private Vehicle","","SM Baguio;Baguio Night Market","Burnham Park;Camp John Hay;Igorot Stone Kingdom","5","5","5","5","5","Location;Accessibility"
"2023/04/10 2:03:16 PM GMT+8","18 to 24 years old","Male","Region I (Ilocos Region)","Yes","Private vehicle","March","1","Family and /or relatives","Private Vehicle","Taxi","Burnham Park;Mines View;Camp John Hay","Burnham Park;Botanical Garden;Baguio Night Market","4","3","3","3","3","Accessibility"
"2023/04/11 6:32:02 PM GMT+8","18 to 24 years old","Male","Region I (Ilocos Region)","Yes","Private vehicle","April","4","Family and /or relatives","Walking","Taxi","Burnham Park;Mines View;Wright Park;Sky Ranch Baguio;SM Baguio;Baguio Night Market","Burnham Park;Mines View;SM Baguio","5","5","5","5","1","Lack of interest"
"2023/04/11 6:47:21 PM GMT+8","18 to 24 years old","Female","CAR (Cordillera Administrative Region)","Yes","Private vehicle","March","3","Family and /or relatives","Private Vehicle","","Burnham Park;Wright Park;The Mansion;Tam-Awan Village;Sky Ranch Baguio;Baguio Museum;Baguio Cathedral;Botanical Garden;SM Baguio;Baguio Night Market","The Mansion;Sky Ranch Baguio;Baguio Museum","5","5","5","5","4","Lack of parking space"
